rank,feature_index,feature_name,mean_abs_shap
91,164,ECG sample 164,0.01387561671435833
92,93,ECG sample 093,0.01304410956799984
93,166,ECG sample 166,0.012954505160450935
94,165,ECG sample 165,0.012949123978614807
95,90,ECG sample 090,0.01278875581920147
96,171,ECG sample 171,0.012714472599327564
97,143,ECG sample 143,0.012688321992754936
98,92,ECG sample 092,0.012590673752129078
99,108,ECG sample 108,0.012538125738501549
100,94,ECG sample 094,0.012105830013751984
101,170,ECG sample 170,0.011978871189057827
102,162,ECG sample 162,0.01194812636822462
103,160,ECG sample 160,0.011928598396480083
104,95,ECG sample 095,0.011869349516928196
105,161,ECG sample 161,0.011791850440204144
106,139,ECG sample 139,0.011613731272518635
107,96,ECG sample 096,0.011585231870412827
108,120,ECG sample 120,0.011498766019940376
109,147,ECG sample 147,0.011390619911253452
110,0,ECG sample 000,0.011339000426232815
111,112,ECG sample 112,0.011226234957575798
112,115,ECG sample 115,0.011161268688738346
113,156,ECG sample 156,0.011090217158198357
114,163,ECG sample 163,0.010940718464553356
115,5,ECG sample 005,0.01085999421775341
116,124,ECG sample 124,0.010858925059437752
117,167,ECG sample 167,0.010816279798746109
118,48,ECG sample 048,0.010736186057329178
119,106,ECG sample 106,0.01071239821612835
120,3,ECG sample 003,0.010698012076318264
121,45,ECG sample 045,0.010617982596158981
122,133,ECG sample 133,0.01059284433722496
123,47,ECG sample 047,0.010450007393956184
124,158,ECG sample 158,0.01041768491268158
125,97,ECG sample 097,0.010363992303609848
126,98,ECG sample 098,0.010337717831134796
127,140,ECG sample 140,0.010182580910623074
128,111,ECG sample 111,0.010173945687711239
129,131,ECG sample 131,0.010165411047637463
130,152,ECG sample 152,0.01001659408211708
131,157,ECG sample 157,0.009987857192754745
132,135,ECG sample 135,0.009810008108615875
133,146,ECG sample 146,0.009765531867742538
134,119,ECG sample 119,0.009723540395498276
135,122,ECG sample 122,0.009668448008596897
136,159,ECG sample 159,0.009667875245213509
137,4,ECG sample 004,0.00964055024087429
138,46,ECG sample 046,0.009482553228735924
139,113,ECG sample 113,0.009400167502462864
140,137,ECG sample 137,0.009349050000309944
141,150,ECG sample 150,0.009319010190665722
142,148,ECG sample 148,0.00926359836012125
143,44,ECG sample 044,0.009257858619093895
144,99,ECG sample 099,0.009194254875183105
145,144,ECG sample 144,0.009158712811768055
146,154,ECG sample 154,0.009151757694780827
147,104,ECG sample 104,0.009151184000074863
148,145,ECG sample 145,0.00908628012984991
149,43,ECG sample 043,0.00897287204861641
150,100,ECG sample 100,0.00890662707388401
151,109,ECG sample 109,0.008868901059031487
152,41,ECG sample 041,0.00880449265241623
153,155,ECG sample 155,0.008794257417321205
154,142,ECG sample 142,0.008773015812039375
155,116,ECG sample 116,0.008731191977858543
156,114,ECG sample 114,0.008629870600998402
157,153,ECG sample 153,0.008628061972558498
158,107,ECG sample 107,0.008559582754969597
159,151,ECG sample 151,0.008426105603575706
160,129,ECG sample 129,0.00838387943804264
161,130,ECG sample 130,0.008345094509422779
162,149,ECG sample 149,0.00833556056022644
163,134,ECG sample 134,0.00825101975351572
164,42,ECG sample 042,0.008205377496778965
165,141,ECG sample 141,0.007882015779614449
166,138,ECG sample 138,0.00786547176539898
167,136,ECG sample 136,0.007864323444664478
168,102,ECG sample 102,0.007831171154975891
169,118,ECG sample 118,0.007733301259577274
170,11,ECG sample 011,0.007688305340707302
171,127,ECG sample 127,0.0074702659621834755
172,8,ECG sample 008,0.007439529523253441
173,101,ECG sample 101,0.007314044516533613
174,9,ECG sample 009,0.007237518206238747
175,39,ECG sample 039,0.0071489536203444
176,40,ECG sample 040,0.007044224999845028
177,121,ECG sample 121,0.0070318132638931274
178,6,ECG sample 006,0.007007738575339317
179,123,ECG sample 123,0.006999777164310217
180,33,ECG sample 033,0.006856720428913832
181,128,ECG sample 128,0.00683555705472827
182,31,ECG sample 031,0.00682069780305028
183,125,ECG sample 125,0.0068040876649320126
184,35,ECG sample 035,0.0067993770353496075
185,105,ECG sample 105,0.006662111263722181
186,37,ECG sample 037,0.006641733460128307
187,126,ECG sample 126,0.006609289441257715
188,10,ECG sample 010,0.0065932320430874825
189,132,ECG sample 132,0.006587609648704529
190,117,ECG sample 117,0.0065797558054327965
191,36,ECG sample 036,0.0063557070679962635
192,103,ECG sample 103,0.006206274963915348
193,29,ECG sample 029,0.006102337501943111
194,7,ECG sample 007,0.006094655953347683
195,34,ECG sample 034,0.006044752895832062
196,32,ECG sample 032,0.006008492782711983
197,38,ECG sample 038,0.0059894840233027935
198,12,ECG sample 012,0.005899564828723669
199,23,ECG sample 023,0.00580563535913825
200,27,ECG sample 027,0.0057778432965278625
201,13,ECG sample 013,0.0056779589504003525
